Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,CV Mean,CV Std,Training Time (s),Prediction Time (s)
Logistic_Regression (No Scaler),0.98125,0.9454545454545454,0.947885606638467,0.9454545454545454,0.9453985211418714,0.9676136363636363,0.007320510640184747,1.9463765621185303,0.0024890899658203125
Logistic_Regression (with Scaler),0.9738636363636364,0.9727272727272728,0.974021729904083,0.9727272727272728,0.9724640256149185,0.9676136363636363,0.011306675421666133,0.10150527954101562,0.0024187564849853516
DecisionTreeClassifier,1.0,0.9795454545454545,0.9805981896890988,0.9795454545454545,0.979423151374371,0.9857954545454545,0.008035304331665313,0.01738572120666504,0.001398324966430664
RandomForestClassifier,1.0,0.9931818181818182,0.9935064935064934,0.9931818181818182,0.9931775541531639,0.9948863636363636,0.0037688918072220487,0.46854543685913086,0.014249801635742188
KNeighborsClassifier,0.9852272727272727,0.9772727272727273,0.9784742499227501,0.9772727272727273,0.9772312611223558,0.9772727272727273,0.004753750150761809,0.009698629379272461,0.006710529327392578
KNeighborsClassifier (with Scaler),0.9846590909090909,0.9795454545454545,0.9803555030827759,0.9795454545454545,0.9792832328133997,0.9659090909090908,0.008233736787607655,0.006770133972167969,0.0077359676361083984
ExtraTreesClassifier,1.0,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9931818181818182,0.005269101417895276,0.3383331298828125,0.023710250854492188
GradientBoostingClassifier,1.0,0.9886363636363636,0.989742141916055,0.9886363636363636,0.9887226097483733,0.9875,0.00686536703045143,14.948489904403687,0.026078224182128906
SVC,0.9857954545454546,0.9840909090909091,0.9856099105110961,0.9840909090909091,0.9840381050638686,0.9761363636363637,0.00753778361444409,0.05101752281188965,0.03523540496826172
GaussianNB,0.9948863636363636,0.9954545454545455,0.9958677685950413,0.9954545454545455,0.9954431533378901,0.9943181818181819,0.005081972676135881,0.004025459289550781,0.0019936561584472656
