N,P,K,temperature,humidity,ph,rainfall,label
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,mothbeans
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,mothbeans
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
25,51,18,27.77799528,54.82130787,9.45949344,50.28438729,mothbeans
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,mothbeans
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,mothbeans
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,mothbeans
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans
16,51,21,31.01963639,49.97675220000001,3.532008668,32.81296548,mothbeans
13,144,204,30.7280404,82.42614055,6.092241627000001,68.38135469,grapes
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes
25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
26,135,203,33.78372897,81.16314317,5.6851027689999984,74.53557341,grapes
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,grapes
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,grapes
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,grapes
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,grapes
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes
32,120,204,10.38004759,83.44518113,6.138958698,67.39173790000001,grapes
12,142,203,31.3115978,82.56407013,5.972850837999999,65.01095312,grapes
21,134,202,10.72302459,80.02130636,6.425419926,65.29821120000001,grapes
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,grapes
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes
40,132,202,24.57558351,80.70695797,5.9718130060000005,69.706113,grapes
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
34,133,202,15.31413469,80.09711412,5.804799142,74.82144653,grapes
8,136,201,41.65602996,82.22118237,5.6092559920000005,74.19664838,grapes
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,grapes
39,129,203,34.38922481,83.18392806,5.863996687,71.03001556,grapes
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes
33,120,205,35.12158265,82.26890793,5.550832177999999,69.71518491,grapes
35,125,204,19.6491772,80.15215777,6.107741787999999,73.69529586,grapes
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes
28,145,202,19.2077707,82.90428409999998,6.484323189,66.83113717,grapes
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes
14,121,203,9.724457611,83.74765639,6.1586894060000015,74.46411148,grapes
6,125,204,27.92004934,82.93262435,5.7335398070000005,69.92092839,grapes
32,138,197,9.535585543,80.73112694,5.908724337000001,69.44115171,grapes
11,124,204,13.42988625,80.06633966,6.361141107000001,71.40043037,grapes
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,grapes
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,apple
20,129,201,23.41044706,91.69913296,5.587905967,116.07779309999998,apple
32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,apple
27,139,205,22.48403042,93.40819246,5.7721799460000005,105.5473627,apple
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
33,121,203,22.45696744,94.76285385,5.6059340870000005,114.8407725,apple
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,apple
32,141,203,21.25941052,92.84416234,5.821347769,109.06584709999998,apple
2,120,203,23.12652652,94.71203306,5.893492998999999,108.62118329999998,apple
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,apple
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,apple
26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,apple
5,144,205,21.42177231,92.62665309,6.184922574,102.8045658,apple
2,123,205,22.36629253,90.78572467,5.739652177000001,124.9831618,apple
16,143,204,23.71475278,91.53331177,5.631333387000001,121.8961665,apple
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple
27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,apple
30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,apple
32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,apple
29,139,205,23.64142354,93.74461474,6.155939452999999,116.6912176,apple
40,136,202,22.85267372,94.57645809999998,5.935336307999999,117.53140259999998,apple
33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,apple
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,apple
10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple
2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,apple
29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,apple
18,125,203,22.44307715,91.59234006,6.160267496,102.5565807,apple
33,143,204,21.1316077,91.95769858,5.814434775,122.5391946,apple
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
35,142,203,21.17089176,90.23730166,5.895319002000001,123.6495149,apple
12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,apple
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,apple
31,121,201,23.15791104,90.34396882,5.731535257999999,110.712841,apple
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
15,14,8,10.01081312,90.22399223,6.22094286,119.3941064,orange
37,18,12,10.2708877,90.19147747,7.401121811,106.69552040000002,orange
32,25,9,10.35609594,93.75652041,7.796034006,101.1456947,orange
7,17,10,10.16431299,91.22320999,6.465913274,106.362551,orange
58,46,45,42.39413392,90.79028064,6.576261427,88.46607497,papaya
31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,papaya
58,51,47,42.13473976,91.70445386,6.757470637000001,197.402901,papaya
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,papaya
70,68,55,42.84609252,94.63548176,6.691202286,78.80996390000001,papaya
59,62,52,43.67549305,93.10887229,6.608667683999999,103.8235658,papaya
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya
34,65,48,41.41968393,90.03863107,6.665024507999999,199.3096432,papaya
36,54,46,42.54744013,94.94482086,6.662875839,214.41038480000003,papaya
37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya
34,48,48,41.04224355,91.37258067,6.805277038,181.527598,papaya
40,49,47,42.93368602,91.1756748,6.501521192,246.36132680000003,papaya
59,62,49,43.36051537,93.35191636,6.941496806,114.778071,papaya
63,58,50,43.03714283,94.6428898,6.720744449,41.5856585,papaya
35,68,45,42.93605359,90.09448142,6.612429546,234.8466111,papaya
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya
